"","country","median","low","up"
"1","Austria",0.621212121212121,0.54040404040404,0.752525252525253
"2","Belgium",0.994949494949495,0.904040404040404,NA
"3","Brazil",0.772727272727273,0.671717171717172,0.904040404040404
"4","Canada",NA,0.772727272727273,NA
"5","Colombia",NA,0.762626262626263,NA
"6","Czechia",0.661616161616162,0.550505050505051,0.813131313131313
"7","Denmark",0.429292929292929,0.358585858585859,0.52020202020202
"8","Egypt",NA,0.782828282828283,NA
"9","France",0.722222222222222,0.702020202020202,0.742424242424242
"10","Germany",0.550505050505051,0.52020202020202,0.590909090909091
"11","India",NA,NA,NA
"12","Indonesia",0.752525252525253,0.53030303030303,NA
"13","Ireland",0.722222222222222,0.601010101010101,0.893939393939394
"14","Israel",0.641414141414141,0.47979797979798,NA
"15","Italy",0.702020202020202,0.691919191919192,0.712121212121212
"16","Mexico",0.823232323232323,0.580808080808081,NA
"17","Morocco",0.560606060606061,0.378787878787879,0.803030303030303
"18","Netherlands",0.47979797979798,0.45959595959596,0.51010101010101
"19","Philippines",NA,0.803030303030303,NA
"20","Poland",NA,0.742424242424242,NA
"21","Portugal",0.641414141414141,0.550505050505051,0.742424242424242
"22","Romania",0.651515151515152,0.570707070707071,0.772727272727273
"23","Russia",0.287878787878788,0.196969696969697,0.924242424242424
"24","Spain",0.54040404040404,0.53030303030303,0.560606060606061
"25","Sweden",0.388888888888889,0.358585858585859,0.439393939393939
"26","Switzerland",0.45959595959596,0.419191919191919,0.51010101010101
"27","Turkey",0.550505050505051,0.47979797979798,0.621212121212121
"28","United_Kingdom",0.712121212121212,0.681818181818182,0.742424242424242
"29","United_States_of_America",0.631313131313131,0.611111111111111,0.651515151515152
